Date,2YO,3YO,4YO,5YO
2019-07-13,,83313.36355225815,,51608.07489934313
2019-07-15,,,,51358.88149317357
2019-07-16,,,65796.84551272755,
2019-07-17,,83016.91152516115,,
2019-07-18,,,,50674.44531361885
2019-07-19,,,65585.42726174503,
2019-07-20,,82746.97515829874,,
2019-07-21,,,65543.26366918755,
2019-07-22,,,,50159.87224118671
2019-07-24,,82567.54005263592,,
2019-07-25,,,65335.46743628671,
2019-07-26,,,,49727.85716340448
2019-07-28,,82217.34385228156,,49077.55055075477
2019-07-30,,,65239.20318731053,
2019-07-31,,,,49007.921141097206
2019-08-01,,82017.19471773505,,48914.28208204695
2019-08-02,,,65189.65787625121,
2019-08-03,,,,48277.81178030469
2019-08-05,,81727.55460940595,,
2019-08-06,,,,48172.655817408144
2019-08-07,,,,47697.67151644119
2019-08-08,,81507.80857006487,,47583.22897275118
2019-08-09,,81520.6807972323,64616.9818869993,
2019-08-12,,,,47453.16765022124
2019-08-14,,81317.8153224003,,46855.4390190198
2019-08-15,,,63546.30665131004,
2019-08-17,,,,46817.95510219028
2019-08-18,,80929.60059884828,,
2019-08-20,,,63467.6050368324,46154.58375052159
2019-08-22,,80836.49618696679,,
2019-08-23,,,62812.11135644528,45958.700426839685
2019-08-26,,80487.82115209929,,
2019-08-27,,,62222.04591282335,45588.67451628924
2019-08-29,,80112.1078829313,,
2019-08-30,,80239.20163610755,,
2019-08-31,,,62338.286887597525,45321.45334974822
2019-09-01,,,61707.83828564502,
2019-09-02,,79628.4505946403,,
2019-09-05,,79381.8387002312,61328.220228202685,45253.19421593819
2019-09-07,,78579.33266759965,,45048.688579636655
2019-09-09,,78854.75653504711,61025.52431881223,45323.29819120257
2019-09-11,,78463.41512955286,60742.94205411576,
2019-09-12,,77619.09269062326,,
2019-09-13,,,,45508.88924150768
2019-09-15,,76931.42944626632,60031.38054224166,
2019-09-16,,77192.47310431051,,
2019-09-18,,,,45454.60063976372
2019-09-19,,76085.10702135168,,
2019-09-20,,,59559.43655565333,
